SKU;DESCRIÇÃO;UNID.
5003790;BUCHA REDUCAO GF 1X1/2 UNICA .;PC
5004009;CADEIRA SEM ENCOSTO LOMBAR MEET PR UNICA .;UNI
5003471;JIMO CUPIM SPRAY 400ML . .;UN
5003473;CHAVE CATRACA COMB 12MM MTX . .;UN
5003479;PARAFUSO PHILIPS 4X40 . .;UN
5003499;FITA CORRETIVO 6 METROS . .;UN
5002984;CANTONEIRA 1490MM . U;UN
5003048;FITA FITA LARGA PP TRANSPARENTE 45MM X 100 M FAVORITA U;UN
5003182;PAINEL R PAINEL DE CONTROLE- 40733003 . .;PC
5003183;PAINEL R PAINEL DE CONTROLE- 407330044 . .;UN
5003606;CADEIRA ESCRITORIO GIRATORIA ENCOSTO LOMBAR ERGO . .;UNI
5003605;BATERIA/PILHA CANON LP-E6N LITHIUM-LON 1865MAH . .;UNI
5003645;SENSOR JFL IVP IRD 640 PET . .;PC
5003360;PARAFUSO FE.RD. 3/16X2 . .;UN
5003370;LONA PRETA 4X50X 20KG . .;M
5003692;PULSEIRA IDENTIFICACAO INNOVAJOY PCT 500UN;PCT
5003694;BRINQUEDOS FILHOS FUNCIONARIOS;UN
5003822;KIT CESTINHA COM RODINHA 3 UNID UNICA .;UNI
5003691;BRINDE CARNES SUINAS DALIA . .;KG
5003725;FURADEIRA E PARAFUSADEIRA 12V MAKITA UNICA .;UNI
5003832;REJUNTE SILICONADO UNICA .;FD
5003858;FIBRA DROP F8 FIT SM 04 2000 MT UNICA .;MT
5003181;MONITOR LG 21,5 LED FHD22MK400H . .;UNI
5003760;SMARTPHONE SAMSUNG GALAXY A22 128GB UNICA .;UN
5003005;ARRUELA GE LIS 1/4 . .;PC
5003008;CABO FLEX COB PVC 70G 750V 1X2,5 VDRL 100 . .;MT
5003948;BALDE MOP UNICA .;UN
5003960;CAL P/ PINTURA 8KG C/ FIXADOR UNICA .;UN
5003761;MADEIRA PINUS 2,5X15X2,70 REFILAR 12 CM UNICA .;PC
5003765;PINCEL ROLO LA UNICA .;PC
5003766;GARFO GAIOLA PARA ROLO 23 CM UNICA .;UNI
5003906;CABO INDUSFLEX 4,00 MM2 AZUL 450/750V UNICA .;MT
5003941;TUBO ISOLANTE POLIETILENO 1/2 12MM UNICA .;PC
5003942;GAS CLORODIFLUORMETANO R22 UNICA .;KG
5004003;CURVA 180 PPR AZUL 32 TF UNICA .;UNI
5004007;E V A 40X60 C GLITTER ROSA EVATEX . .;FL
5004013;BARRA REDONDA 3/8 UNICA .;PC
5004017;TINTA NOBRE CINZA 5LT UNICA .;UNI
5003868;SENSOR PASSIVO PET CFIO LZ-500 JFL UNICA .;PE
5003947;PATCH CORD LC/UPC UNICA .;UNI
5003253;ALVENARITE 5LT PLASTILIT/TEDOX . .;UNI
5003887;CARTAO APRESENTACAO TOP BOJOS 15X20CM 170G . .;UN
5003889;CURVA 90 G HORIZINTAL LISA GALVANIZADA UNICA .;PC
5003966;BATERIA TABLET T 560 T561 UNICA .;UNI
5003990;JALECO PRODUCAO COR AZUL EXXGG UNICA .;UN
5003995;CAMISETA CRISDU LABS . GG/XL;UN
5003298;COPO PLASTICO 200ML PCT C/ 100 DUDIGO;PCT
5003685;TRILHO AUTOMOTIVO . .;PC
5004019;ELETRODO 2,5 1KG UNICA .;KG
5003381;ARRUELA DE PRESSAO M5 BICROM;CT
5003387;ABRACADEIRA NYLON 2,5X100;CT
5003388;PERFIL ESPONJOSO 50X12MM;MT
5003390;TERMINAL MOD COPO 11MM 1/4;PC
5004648;LUVA CONEXAO COBRE 3/8 PAREDE U U;PC
5004852;LAMPADA TUBULAR LED T8 240C 40W 6500K U U;UNI
5004419;GUIA DE ALTA DENSIDADE 1U U U;UNI
5004824;CONJUNTO EURO 40CM BRALIMPIA OMPLETO COM CABO MOD U U;UNI
